"Região","Variável","Ano","Valor","Valor corrigido","Variação anual","Índice"
"Acre","12.368 - Educação Básica",2022,649731165.45,649731165.45,1237.31,1452316.58
"Acre","13 - Cultura",2018,21689233.84,27529658.59,NA,100
"Acre","13 - Cultura",2019,14661544.89,17841297.15,-35.19,64.81
"Acre","13 - Cultura",2020,22278382.81,25938300.68,45.38,94.22
"Acre","13 - Cultura",2021,16943038.33,17923208.84,-30.9,65.11
"Acre","13 - Cultura",2022,24573522.95,24573522.95,37.1,89.26
"Acre","13.122 - Administração Geral",2018,8777050.34,11140513.36,NA,100
"Acre","13.122 - Administração Geral",2019,9223522.25,11223892.33,0.75,100.75
"Acre","13.122 - Administração Geral",2020,10327222.4,12023790.15,7.13,107.93
"Acre","13.122 - Administração Geral",2021,11680214.87,12355926.15,2.76,110.91
"Acre","13.122 - Administração Geral",2022,5990718.43,5990718.43,-51.52,53.77
"Acre","13.391 - Patrimônio Histórico, Artístico e Arqueológico",2018,27400,34778.21,NA,100
"Acre","13.392 - Difusão Cultural",2018,12884783.5,16354367.03,NA,100
"Acre","13.392 - Difusão Cultural",2019,5438022.64,6617404.82,-59.54,40.46
"Acre","13.392 - Difusão Cultural",2020,11951160.41,13914510.53,110.27,85.08
"Acre","13.392 - Difusão Cultural",2021,5214173.46,5515818.24,-60.36,33.73
"Acre","13.392 - Difusão Cultural",2022,16573093.12,16573093.12,200.46,101.34
"Acre","14 - Direitos da Cidadania",2018,107695280.48,136695206.73,NA,100
"Acre","14 - Direitos da Cidadania",2019,60902980.93,74111438.34,-45.78,54.22
"Acre","14 - Direitos da Cidadania",2020,230820874.61,268740388.36,262.62,196.6
"Acre","14 - Direitos da Cidadania",2021,227963336.3,241151227.1,-10.27,176.42
"Acre","14 - Direitos da Cidadania",2022,25776631.92,25776631.92,-89.31,18.86
"Acre","14.122 - Administração Geral",2018,4108571.9,5214918.27,NA,100
"Acre","14.122 - Administração Geral",2019,749493.99,912042.02,-82.51,17.49
"Acre","14.122 - Administração Geral",2020,176223408.47,205173588.87,22396.07,3934.36
"Acre","14.122 - Administração Geral",2021,184540575.41,195216419.15,-4.85,3743.42
"Acre","14.421 - Custódia e Reintegração Social",2018,89269695.77,113308024.86,NA,100
"Acre","14.421 - Custódia e Reintegração Social",2019,51983460.4,63257478.72,-44.17,55.83
"Acre","14.421 - Custódia e Reintegração Social",2020,52401061.41,61009566.91,-3.55,53.84
"Acre","14.421 - Custódia e Reintegração Social",2021,40991939.27,43363361.04,-28.92,38.27
"Acre","14.421 - Custódia e Reintegração Social",2022,20361338.26,20361338.26,-53.04,17.97
"Acre","14.422 - Direitos Individuais, Coletivos e Difusos",2018,4308895.88,5469185,NA,100
"Acre","14.422 - Direitos Individuais, Coletivos e Difusos",2019,795843.76,968443.99,-82.29,17.71
"Acre","14.422 - Direitos Individuais, Coletivos e Difusos",2020,572845.52,666953.23,-31.13,12.19
"Acre","14.422 - Direitos Individuais, Coletivos e Difusos",2021,827982.9,875882.48,31.33,16.01
"Acre","14.422 - Direitos Individuais, Coletivos e Difusos",2022,5415293.66,5415293.66,518.27,99.01
"Acre","15 - Urbanismo",2018,79439291.75,100830513.28,NA,100
"Acre","15 - Urbanismo",2019,51905078.77,63162097.91,-37.36,62.64
"Acre","15 - Urbanismo",2020,91339151.97,106344450.93,68.37,105.47
"Acre","15 - Urbanismo",2021,133648224.55,141379898.51,32.95,140.22
"Acre","15 - Urbanismo",2022,290837313.15,290837313.15,105.71,288.44
"Acre","15.122 - Administração Geral",2018,15363487.55,15363487.55,NA,100
"Acre","15.122 - Administração Geral",2019,25893811.51,24824817.24,61.58,161.58
"Acre","15.122 - Administração Geral",2020,71067299.32,65188510.14,162.59,424.31
"Acre","15.122 - Administração Geral",2021,69751003.09,58132408.26,-10.82,378.38
"Acre","15.122 - Administração Geral",2022,46402893.66,36558506.82,-37.11,237.96
"Acre","15.451 - Infraestrutura Urbana",2018,64075804.2,81329982.73,NA,100
"Acre","15.451 - Infraestrutura Urbana",2019,26011267.26,31652513.56,-61.08,38.92
"Acre","15.451 - Infraestrutura Urbana",2020,7460433.1,8686041.47,-72.56,10.68
"Acre","15.451 - Infraestrutura Urbana",2021,43598981.68,46121223.28,430.98,56.71
"Acre","15.451 - Infraestrutura Urbana",2022,130442654.03,130442654.03,182.83,160.39
"Acre","16 - Habitação",2018,28395056.53,36041209.1,NA,100
"Acre","16 - Habitação",2019,8785219.38,10690531.64,-70.34,29.66
"Acre","16 - Habitação",2020,6570052.45,7649388.08,-28.45,21.22
"Acre","16 - Habitação",2021,6382110.66,6751321.69,-11.74,18.73
"Acre","16 - Habitação",2022,10688809.24,10688809.24,58.32,29.66
"Acre","16.122 - Administração Geral",2018,6276031.47,7966026.14,NA,100
"Acre","16.122 - Administração Geral",2020,5670102.98,6601593.9,-17.13,82.87
"Acre","16.122 - Administração Geral",2021,5463299.8,5779356.77,-12.46,72.55
"Acre","16.122 - Administração Geral",2022,6362289.2,6362289.2,10.09,79.87
"Acre","16.481 - Habitação Rural",2018,30000,38078.33,NA,100
"Acre","16.482 - Habitação Urbana",2018,22089025.06,28037104.63,NA,100
"Acre","16.482 - Habitação Urbana",2019,8785219.38,10690531.64,-61.87,38.13
"Acre","16.482 - Habitação Urbana",2020,899949.47,1047794.18,-90.2,3.74
"Acre","16.482 - Habitação Urbana",2021,918810.86,971964.92,-7.24,3.47
"Acre","16.482 - Habitação Urbana",2022,4326520.04,4326520.04,345.13,15.43
"Acre","17 - Saneamento",2018,160634777.7,203890124.51,NA,100
"Acre","17 - Saneamento",2019,114248412.87,139026268.93,-31.81,68.19
"Acre","17 - Saneamento",2020,120289377.57,140050652.26,0.74,68.69
"Acre","17 - Saneamento",2021,126906537.13,134248198.21,-4.14,65.84
"Acre","17 - Saneamento",2022,106011953.65,106011953.65,-21.03,51.99
"Acre","17.122 - Administração Geral",2018,65376264.34,82980627.65,NA,100
"Acre","17.122 - Administração Geral",2019,60381173.13,73476462.41,-11.45,88.55
"Acre","17.122 - Administração Geral",2020,98539719.04,114727935.28,56.14,138.26
"Acre","17.122 - Administração Geral",2021,107569466.79,113792460.38,-0.82,137.13
"Acre","17.122 - Administração Geral",2022,21402225.1,21402225.1,-81.19,25.79
"Acre","17.511 - Saneamento Básico Rural",2021,50000,52892.55,NA,100
"Acre","17.512 - Saneamento Básico Urbano",2018,94437011.15,119866782.51,NA,100
"Acre","17.512 - Saneamento Básico Urbano",2019,53397302.04,64977950.13,-45.79,54.21
"Acre","17.512 - Saneamento Básico Urbano",2020,19698132.86,22934164.35,-64.7,19.13
"Acre","17.512 - Saneamento Básico Urbano",2021,19281686.99,20397150.5,-11.06,17.02
"Acre","17.512 - Saneamento Básico Urbano",2022,84609728.55,84609728.55,314.81,70.59
"Acre","18 - Gestão Ambiental",2018,67640708.99,85854836.51,NA,100
"Acre","18 - Gestão Ambiental",2019,36396132.86,44289617.93,-48.41,51.59
"Acre","18 - Gestão Ambiental",2020,34307856.72,39943990.14,-9.81,46.53
"Acre","18 - Gestão Ambiental",2021,74595808.09,78911244.89,97.55,91.91
"Acre","18 - Gestão Ambiental",2022,43997731.77,43997731.77,-44.24,51.25
"Acre","18.122 - Administração Geral",2018,22620743.55,28712003,NA,100
"Acre","18.122 - Administração Geral",2019,22931679.15,27905033.54,-2.81,97.19
"Acre","18.122 - Administração Geral",2020,26153914.67,30450509.29,9.12,106.05
"Acre","18.122 - Administração Geral",2021,27713200.19,29316434.57,-3.72,102.11
"Acre","18.122 - Administração Geral",2022,5384151.74,5384151.74,-81.63,18.75
"Acre","18.541 - Preservação e Conservação Ambiental",2018,8877068.24,11267463.84,NA,100
"Acre","18.541 - Preservação e Conservação Ambiental",2019,5508553.18,6703231.81,-40.51,59.49
"Acre","18.541 - Preservação e Conservação Ambiental",2020,5581385.92,6498302.3,-3.06,57.67
"Acre","18.541 - Preservação e Conservação Ambiental",2021,33046964.55,34958762.15,437.97,310.26
"Acre","18.541 - Preservação e Conservação Ambiental",2022,15634572.81,15634572.81,-55.28,138.76
